ADDRESS,LATITUDE,LONGITUDE,LOCATION
721 N LA SALLE DR,41.89557507,-87.63254328,"(41.89557507, -87.63254328)"
1601 W DIVISION ST,41.90323582,-87.66755407,"(41.90323582, -87.66755407)"
4 W 35TH ST,41.83111927,-87.6267791,"(41.83111927, -87.6267791)"
4602 N BROADWAY ,41.96547764,-87.65768753,"(41.96547764, -87.65768753)"
1550 N DAMEN AVE,41.90967936,-87.67759021,"(41.90967936, -87.67759021)"
3060 W 26TH ST,41.84466604,-87.70254001,"(41.84466604, -87.70254001)"
3500 W Fillmore,41.86824605,-87.71316125,"(41.86824605, -87.71316125)"
25 E CHICAGO AVE,41.89658176,-87.62708766,"(41.89658176, -87.62708766)"
Ogden & California,41.86131724,-87.69575486,"(41.86131724, -87.69575486)"
944 W ARMITAGE AVE,41.91822458,-87.65272001,"(41.91822458, -87.65272001)"
3758 W OGDEN AVE,41.85307985,-87.71965154,"(41.85307985, -87.71965154)"
31st & Tripp,41.83681334,-87.7304274,"(41.83681334, -87.7304274)"
2650 S CALIFORNIA AVE,41.84323835,-87.69476454,"(41.84323835, -87.69476454)"
4020 W 26TH ST,41.84435111,-87.72545519,"(41.84435111, -87.72545519)"
